Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,148.93,113.51,160.61
uf200-01,1215206,200,860,99.57,109.1,105.61
uf20-077,116,20,91,0,0,0.01
flat175-44,594166,525,1951,66.56,100.31,65.35
flat125-77,823697,375,1403,72.89,85.94,73.19
flat175-34,568693,525,1951,64.85,98.1,63.82
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.16,0.09,0.2
flat75-33,1374335,225,840,103.17,86.58,108.72
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,247.39,131.45,293
pombos-10,2844584,110,561,195.81,127.61,223.32
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,31.69,17.26,37.4
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,146.44,90.37,168.86
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,95.04,115.54,102.33
uf175-01,1457154,175,753,115.99,112.73,121.39
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0.08,0.05,0.08
flat75-90,1401674,225,840,106.2,89.79,112.48
bmc-ibm-3,13467,14930,72106,59.56,163.21,71.99
uf100-01,2451602,100,430,177.66,122.72,197.69
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,54.29,167.2,59.72
uf250-01,985382,250,1065,89.85,120.95,95.6
bmc-ibm-2,94940,2810,11683,55,152.43,56.09
uf20-0462,1621,20,91,0.1,0.06,0.11
flat125-55,852061,375,1403,76.7,91.76,77.47
flat30-36,231772,90,300,15.31,8.27,18.04
uf150-01,1719560,150,645,128.93,109.57,137.87
