Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,63.13,37.06,32.54
uf200-01,1215206,200,860,39.7,26.23,16.63
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,23.02,16.01,8.74
flat125-77,823697,375,1403,27.22,18.34,11.26
flat175-34,568693,525,1951,22.19,15.48,8.39
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.06,0.03,0.03
flat75-33,1374335,225,840,38.99,23.06,19.13
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,77.41,36.45,50.45
pombos-10,2844584,110,561,63.06,31.52,39.12
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,10.74,5.25,6.82
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,52.21,29.27,28.79
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,37.03,24.06,15.78
uf175-01,1457154,175,753,44.6,28.07,20.41
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0.03,0.01,0.01
flat75-90,1401674,225,840,38.53,23.1,19.09
bmc-ibm-3,13467,14930,72106,14.15,13.21,0.65
uf100-01,2451602,100,430,64.92,37.2,34.08
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,12.27,11.4,0.97
uf250-01,985382,250,1065,34.14,22.81,13.99
bmc-ibm-2,94940,2810,11683,12.74,11.28,1.82
uf20-0462,1621,20,91,0.03,0,0.02
flat125-55,852061,375,1403,29.23,19.08,12.16
flat30-36,231772,90,300,4.89,2.16,3.37
uf150-01,1719560,150,645,49.64,30.02,24.45
